id,filename,expansion,cardname,txt
38,VO_ANNOUNCER_REXXAR_08_ALT1,공통,여관주인,렉사르
39,VO_ANNOUNCER_REXXAR_08_ALT2,공통,여관주인,렉사르
40,VO_ANNOUNCER_REXXAR_09,공통,여관주인,렉사르
41,VO_ANNOUNCER_THRALL_11,공통,여관주인,스랄
42,VO_ANNOUNCER_THRALL_11_ALT1,공통,여관주인,스랄
43,VO_ANNOUNCER_THRALL_11_ALT2,공통,여관주인,스랄
44,VO_ANNOUNCER_THRALL_12,공통,여관주인,스랄
45,VO_ANNOUNCER_UTHER_10,공통,여관주인,우서
46,VO_ANNOUNCER_UTHER_10_ALT1,공통,여관주인,우서
47,VO_ANNOUNCER_UTHER_10_ALT2,공통,여관주인,우서
48,VO_ANNOUNCER_UTHER_11,공통,여관주인,우서
49,VO_ANNOUNCER_VALEERA_07,공통,여관주인,발리라
50,VO_ANNOUNCER_VALEERA_07_ALT1,공통,여관주인,발리라
51,VO_ANNOUNCER_VALEERA_07_ALT2,공통,여관주인,발리라
52,VO_ANNOUNCER_VALEERA_08,공통,여관주인,발리라
53,VO_ANNOUNCER_VERSUS_21,공통,여관주인,그 상대는
54,VO_ANNOUNCER_VERSUS_21_ALT1,공통,여관주인,그 상대는
55,VO_ANNOUNCER_VERSUS_21_ALT2,공통,여관주인,그 상대는
56,VO_ANNOUNCER_VERSUS_22,공통,여관주인,그 상대는
57,VO_Aran_Male_Shade_AranBossCoin_02,한여름 밤의 카라잔,아란의 망령,주인님의 거처에 손님들이 왔다고 모두 사라지거라
58,VO_Aran_Male_Shade_AranCrackle_01,한여름 밤의 카라잔,아란의 망령,내가 한창이었을 때엔 파지직은 언제나 6의 피해를 줬지
59,VO_Aran_Male_Shade_AranDeath_01,한여름 밤의 카라잔,아란의 망령,호 호 호 호우
60,VO_Aran_Male_Shade_AranEmoteResponse_01,한여름 밤의 카라잔,아란의 망령,너는 누구냐 원하는게 뭐야
61,VO_Aran_Male_Shade_AranHeroPower_01,한여름 밤의 카라잔,아란의 망령,불타라 지옥의 악마들아
62,VO_Aran_Male_Shade_AranMedivhSkin_01,한여름 밤의 카라잔,아란의 망령,메디브 아니 손님들을 귀찮게 하진 않았다
63,VO_Aran_Male_Shade_AranOpen_01,한여름 밤의 카라잔,아란의 망령,너에게 보여주마 아무리 지친 개라도 송곳니는 있는 법
64,VO_Aran_Male_Shade_AranSpell_03,한여름 밤의 카라잔,아란의 망령,차가운 암흑으로 돌아가라
65,VO_Aran_Male_Shade_AranSpell_04,한여름 밤의 카라잔,아란의 망령,그래 메디브는 아주 강하지 하지만 내게도 힘은 있다
66,VO_Aran_Male_Shade_AranTrons_02,한여름 밤의 카라잔,아란의 망령,안돼 그 끔찍한 소원만은
67,VO_Aran_Male_Shade_AranTurn1_01,한여름 밤의 카라잔,아란의 망령,내 탑에선 정숙해라
68,VO_Aran_Male_Shade_AranTurn5_01,한여름 밤의 카라잔,아란의 망령,난 어릿광대 따위가 아니다 난 니엘라스 아란이다
69,VO_AT_003_ATTACK_02,대 마상시합,영웅의 넋,네가 쓰러질 차례다
70,VO_AT_003_DEATH_03,대 마상시합,영웅의 넋,죽음
71,VO_AT_003_PLAY_01,대 마상시합,영웅의 넋,마침내 다시 기회가 왔다
72,VO_AT_006_ATTACK_02,대 마상시합,달라란 지원자,정말 무지하군
73,VO_AT_006_DEATH_03,대 마상시합,달라란 지원자,죽음
74,VO_AT_006_PLAY_01,대 마상시합,달라란 지원자,지식은 곧 힘이다 그리고 난 많은걸 알지
75,VO_AT_006_TRIGGER_04,대 마상시합,달라란 지원자,지식이 늘었다
76,VO_AT_007_ATTACK_02,대 마상시합,주문사수,승부다
77,VO_AT_007_DEATH_03,대 마상시합,주문사수,죽음
78,VO_AT_007_PLAY_01,대 마상시합,주문사수,네 목에 걸린 현상금은 얼마냐
79,VO_AT_009_ATTACK_02,대 마상시합,로닌,똑똑히 봐라
80,VO_AT_009_DEATH_03,대 마상시합,로닌,모두 무사하길
81,VO_AT_009_PLAY_01,대 마상시합,로닌,달라란의 힘이 당도했노라
82,VO_AT_010_ATTACK_02,대 마상시합,산양 사육사,송곳니와 발톱의 이름으로
83,VO_AT_010_DEATH_03,대 마상시합,산양 사육사,죽음
84,VO_AT_010_PLAY_01,대 마상시합,산양 사육사,야수들은 내게 복종한다
85,VO_AT_011_ATTACK_02,대 마상시합,신성한 용사,여긴 어때요
86,VO_AT_011_DEATH_03,대 마상시합,신성한 용사,죽음
87,VO_AT_011_PLAY_01,대 마상시합,신성한 용사,정신이 드세요
88,VO_AT_012_ATTACK_02,대 마상시합,어둠의 종복,불을 꺼볼까
89,VO_AT_012_DEATH_03,대 마상시합,어둠의 종복,죽음
90,VO_AT_012_PLAY_01,대 마상시합,어둠의 종복,어둠이 두렵나
91,VO_AT_018_ATTACK_02,대 마상시합,고해사제 페일트리스,고해하세요
92,VO_AT_018_DEATH_03,대 마상시합,고해사제 페일트리스,죽음
93,VO_AT_018_PLAY_01,대 마상시합,고해사제 페일트리스,이번 기회에 과거의 행실을 돌아보도록 하세요
94,VO_AT_020_ATTACK_02,대 마상시합,무시무시한 파멸수호병,이놈에게 파멸을
95,VO_AT_020_DEATH_03,대 마상시합,무시무시한 파멸수호병,나에게 파멸을
96,VO_AT_020_PLAY_01,대 마상시합,무시무시한 파멸수호병,모두에게 파멸을
97,VO_AT_021_ATTACK_02,대 마상시합,작고 사악한 창기사,간다
98,VO_AT_021_DEATH_05,대 마상시합,작고 사악한 창기사,죽음
99,VO_AT_021_PLAY_01,대 마상시합,작고 사악한 창기사,몸집은 작지만 엄청 사악하다구
100,VO_AT_023_ATTACK_02,대 마상시합,공허파괴자,공허가 손짓한다
101,VO_AT_023_DEATH_03,대 마상시합,공허파괴자,죽음
102,VO_AT_023_PLAY_01,대 마상시합,공허파괴자,마음에 안드는 곳이다
103,VO_AT_026_ATTACK_02,대 마상시합,격노수호병,내 고통을 느껴봐라
104,VO_AT_026_DEATH_03,대 마상시합,격노수호병,죽음
105,VO_AT_026_PLAY_01,대 마상시합,격노수호병,후회하게 될거다
106,VO_AT_027_ATTACK_02,대 마상시합,윌프레드 피즐뱅,눈 크게 뜨고 보세요
107,VO_AT_027_DEATH_04,대 마상시합,윌프레드 피즐뱅,아니 그래도 내가 주인공인데
108,VO_AT_027_JARAXXUS_03,대 마상시합,윌프레드 피즐뱅,너는 이제 내 부하다 악마야
109,VO_AT_027_PLAY_01,대 마상시합,윌프레드 피즐뱅,짜잔 소환의 대가 윌프레드 피즐뱅입니다
110,VO_AT_028_ATTACK_02,대 마상시합,음영파 기수,그림자 속으로
111,VO_AT_028_DEATH_03,대 마상시합,음영파 기수,죽음
112,VO_AT_028_PLAY_01,대 마상시합,음영파 기수,우린 어둠 속의 검입니다
113,VO_AT_029_ATTACK_02,대 마상시합,해적단원,야하하
114,VO_AT_029_DEATH_03,대 마상시합,해적단원,죽음
115,VO_AT_029_PLAY_01,대 마상시합,해적단원,육지 놈아 물고기 밥이나 주라구
116,VO_AT_030_ATTACK_02,대 마상시합,언더시티 용맹전사,죽어서 우리와 함께 하라
117,VO_AT_030_DEATH_03,대 마상시합,언더시티 용맹전사,죽음
118,VO_AT_030_PLAY_01,대 마상시합,언더시티 용맹전사,실바나스의 승리를 위하여
119,VO_AT_031_ATTACK_02,대 마상시합,소매치기,쨍그랑
120,VO_AT_031_DEATH_03,대 마상시합,소매치기,도 도둑이야
121,VO_AT_031_PLAY_01,대 마상시합,소매치기,그거 탐나는데
122,VO_AT_032_ATTACK_02,대 마상시합,암거래상,거래 성사
123,VO_AT_032_DEATH_03,대 마상시합,암거래상,죽음
124,VO_AT_032_PLAY_01,대 마상시합,암거래상,좋은 물건이 있는데 말이야
125,VO_AT_036_ATTACK_ALT1_05,대 마상시합,아눕아락,망각이 널 기다린다
126,VO_AT_036_DEATH_06,대 마상시합,아눕아락,죽음
127,VO_AT_036_PLAY_01_ALT,대 마상시합,아눕아락,심연에서 내가 왔노라
128,VO_AT_036_TRIGGER_ALT1_08,대 마상시합,아눕아락,난 돌아올 것이다
129,VO_AT_038_ATTACK_02,대 마상시합,다르나서스 지원자,엘룬을 위하여
130,VO_AT_038_DEATH_04,대 마상시합,다르나서스 지원자,죽음
131,VO_AT_038_PLAY_01,대 마상시합,다르나서스 지원자,엘룬께서 제 창을 인도하십니다
132,VO_AT_039_ATTACK_03,대 마상시합,흉포한 전투원,자연이 분노한다
133,VO_AT_039_DEATH_05,대 마상시합,흉포한 전투원,죽음
134,VO_AT_039_PLAY_01,대 마상시합,흉포한 전투원,야수가 풀려났다
135,VO_AT_040_ATTACK_02,대 마상시합,야생길잡이,야생의 힘으로
136,VO_AT_040_DEATH_05,대 마상시합,야생길잡이,죽음
137,VO_AT_040_PLAY_01,대 마상시합,야생길잡이,야생의 기운이 느껴지나요
138,VO_AT_041_ATTACK_02,대 마상시합,야생의 기사,칸을 위해
139,VO_AT_041_DEATH_03,대 마상시합,야생의 기사,죽음
140,VO_AT_041_PLAY_01,대 마상시합,야생의 기사,칸에게 승리를
141,VO_AT_042_ATTACK_01,대 마상시합,칼날이빨의 드루이드,내 포효를 들어라
142,VO_AT_042_DEATH_03_ALT,대 마상시합,칼날이빨의 드루이드,죽음
143,VO_AT_042_PLAY_01,대 마상시합,칼날이빨의 드루이드,오늘 밤에도 먹잇감을 찾는다
144,VO_AT_045_ATTACK_02,대 마상시합,아비아나,내 발톱 아래 쓰러져라
145,VO_AT_045_DEATH_03,대 마상시합,아비아나,죽음
146,VO_AT_045_PLAY_01,대 마상시합,아비아나,내 아이들이 하늘을 뒤덮는다
147,VO_AT_046_ATTACK_02,대 마상시합,투스카르 토템지기,저런 저런
148,VO_AT_046_DEATH_03,대 마상시합,투스카르 토템지기,죽음
149,VO_AT_046_PLAY_01,대 마상시합,투스카르 토템지기,생선좀 가져오셨나요
150,VO_AT_047_ATTACK_02,대 마상시합,드레나이 토템술사,얼마든지
151,VO_AT_047_DEATH_03,대 마상시합,드레나이 토템술사,죽음
152,VO_AT_047_PLAY_01,대 마상시합,드레나이 토템술사,정령도 좋지만 토템은 더 좋아
153,VO_AT_049_ATTACK_02,대 마상시합,썬더 블러프 용맹전사,재촉하지 말게
154,VO_AT_049_DEATH_03,대 마상시합,썬더 블러프 용맹전사,죽음
155,VO_AT_049_PLAY_01,대 마상시합,썬더 블러프 용맹전사,중요한 순간에 날 불렀군
156,VO_AT_054_ATTACK_02,대 마상시합,안개소환사,안개가 널 휘감는다
157,VO_AT_054_DEATH_03,대 마상시합,안개소환사,죽음
158,VO_AT_054_PLAY_01,대 마상시합,안개소환사,크발디르를 막을 순 없다
159,VO_AT_057_ATTACK_03,대 마상시합,마구간지기,얘들아 물어
160,VO_AT_057_DEATH_04,대 마상시합,마구간지기,죽음
161,VO_AT_057_PLAY_01,대 마상시합,마구간지기,아 그래 착하지
162,VO_AT_059_ATTACK_03,대 마상시합,용감한 궁수,어 쏘면 되나요
163,VO_AT_059_DEATH_05,대 마상시합,용감한 궁수,죽음
164,VO_AT_059_PLAY_01,대 마상시합,용감한 궁수,난 이제 공주가 아니에요
165,VO_AT_066_ATTACK_02,대 마상시합,오그리마 지원자,각오해라
166,VO_AT_066_DEATH_03,대 마상시합,오그리마 지원자,죽음
167,VO_AT_066_PLAY_01,대 마상시합,오그리마 지원자,창을 들어라 비겁한 놈
168,VO_AT_069_ATTACK_02,대 마상시합,대련 상대,각오하십시오
169,VO_AT_069_DEATH_03,대 마상시합,대련 상대,죽음
170,VO_AT_069_PLAY_01,대 마상시합,대련 상대,연습은 완벽의 어머니입니다
171,VO_AT_070_ATTACK_02,대 마상시합,하늘선장 크라그,어기여차
172,VO_AT_070_DEATH_03,대 마상시합,하늘선장 크라그,죽음
173,VO_AT_070_PLAY_01,대 마상시합,하늘선장 크라그,지원군이 도착했다
174,VO_AT_071_ATTACK_02,대 마상시합,알렉스트라자의 용사,용의 여왕님을 위하여
175,VO_AT_071_DEATH_03,대 마상시합,알렉스트라자의 용사,죽음
176,VO_AT_071_PLAY_01,대 마상시합,알렉스트라자의 용사,생명의 어머니를 위해
177,VO_AT_072_ANDUIN_ALT3_01,대 마상시합,바리안 린,많이 성장했구나 안두인
178,VO_AT_072_ATTACK_03,대 마상시합,바리안 린,스톰윈드의 영광을 위해
179,VO_AT_072_DEATH_04,대 마상시합,바리안 린,죽음
180,VO_AT_072_PLAY_01,대 마상시합,바리안 린,스톰윈드의 용사들을 보아라
181,VO_AT_075_ATTACK_02,대 마상시합,전투마 조련사,돌진 앞으로
182,VO_AT_075_DEATH_03,대 마상시합,전투마 조련사,죽음
183,VO_AT_075_PLAY_01,대 마상시합,전투마 조련사,전투마가 준비됐다
184,VO_AT_079_ATTACK_02,대 마상시합,수수께끼의 도전자,질문은 그만
185,VO_AT_079_DEATH_03,대 마상시합,수수께끼의 도전자,죽음
186,VO_AT_079_PLAY_01,대 마상시합,수수께끼의 도전자,내가 누구냐고 알 필요 없다
187,VO_AT_080_ATTACK_02,대 마상시합,주둔지 사령관,부대 차렷
188,VO_AT_080_DEATH_03,대 마상시합,주둔지 사령관,죽음
189,VO_AT_080_PLAY_01,대 마상시합,주둔지 사령관,진영을 갖춰라
190,VO_AT_081_ATTACK_03,대 마상시합,성기사 에드릭,전 봐드리지 않습니다
191,VO_AT_081_DEATH_04,대 마상시합,성기사 에드릭,이제 집에 가도 되겠습니까
192,VO_AT_081_PLAY_ALT1_02,대 마상시합,성기사 에드릭,그대 용기를 시험해 보겠습니다
193,VO_AT_082_ATTACK_02,대 마상시합,풋내기 종자,이거 진짜 칼이에요
194,VO_AT_082_DEATH_03,대 마상시합,풋내기 종자,도망쳐요
195,VO_AT_082_PLAY_01,대 마상시합,풋내기 종자,난 언젠가 기사가 될거에요
196,VO_AT_083_ATTACK_02,대 마상시합,용매 기수,진심이야
197,VO_AT_083_DEATH_03,대 마상시합,용매 기수,죽음
198,VO_AT_083_PLAY_01,대 마상시합,용매 기수,우와 여기 경치 좋은데
199,VO_AT_084_ATTACK_02,대 마상시합,창 운반꾼,자꾸 찌르지 마세요
200,VO_AT_084_DEATH_03,대 마상시합,창 운반꾼,죽음
201,VO_AT_084_PLAY_01,대 마상시합,창 운반꾼,무슨 일이죠
202,VO_AT_085_ATTACK_02,대 마상시합,호수의 여신,이 검을 받으세요
203,VO_AT_085_DEATH_03,대 마상시합,호수의 여신,죽음
204,VO_AT_085_PLAY_01,대 마상시합,호수의 여신,마침내 저주에서 풀려났어요
205,VO_AT_086_ATTACK_02,대 마상시합,파괴공작원,하하하 매복이다
206,VO_AT_086_DEATH_03,대 마상시합,파괴공작원,죽음
207,VO_AT_086_PLAY_01,대 마상시합,파괴공작원,놈들의 계획을 망쳐놓겠습니다
208,VO_AT_087_ATTACK_04,대 마상시합,은빛십자군 기수,이랴
209,VO_AT_087_DEATH_06,대 마상시합,은빛십자군 기수,죽음
210,VO_AT_087_PLAY_ALT1_02,대 마상시합,은빛십자군 기수,걱정 마십시오 해결사가 왔습니다
211,VO_AT_088_ATTACK_03,대 마상시합,모고르의 용사,트로피 내놔라
212,VO_AT_088_DEATH_05,대 마상시합,모고르의 용사,죽음
213,VO_AT_088_PLAY_01,대 마상시합,모고르의 용사,모고르 트로피 원한다 나 트로피 가져간다
214,VO_AT_088_TRIGGER_01,대 마상시합,모고르의 용사,어라
215,VO_AT_089_ATTACK_02,대 마상시합,해골경비대 부관,죽음과 마주해라
216,VO_AT_089_DEATH_03,대 마상시합,해골경비대 부관,죽음
217,VO_AT_089_PLAY_01,대 마상시합,해골경비대 부관,널 저승으로 데려가주마
218,VO_AT_091_ATTACK_02,대 마상시합,마상시합장 의무관,꼭 나를 시켜야겠나
219,VO_AT_091_DEATH_03,대 마상시합,마상시합장 의무관,죽음
220,VO_AT_091_PLAY_01,대 마상시합,마상시합장 의무관,치유하라고 알겠네
221,VO_AT_093_ATTACK_ALT1_04,대 마상시합,눈덩이 스노볼트,눈이나 먹어
222,VO_AT_093_DEATH_05,대 마상시합,눈덩이 스노볼트,죽음
223,VO_AT_093_PLAY_01,대 마상시합,눈덩이 스노볼트,너 눈뭉치 못가져간다
224,VO_AT_094_ATTACK_02,대 마상시합,불꽃 곡예사,타올라라
225,VO_AT_094_DEATH_03,대 마상시합,불꽃 곡예사,죽음
226,VO_AT_094_PLAY_01,대 마상시합,불꽃 곡예사,이거 정말 화끈하군요
227,VO_AT_095_ATTACK_02,대 마상시합,고요한 기사,그 입 다물어라
228,VO_AT_095_DEATH_03,대 마상시합,고요한 기사,죽음
229,VO_AT_095_PLAY_01,대 마상시합,고요한 기사,조용히 해
230,VO_AT_096_ATTACK_02,대 마상시합,태엽돌이 기사,공격 개시
231,VO_AT_096_DEATH_03,대 마상시합,태엽돌이 기사,시간 초과
232,VO_AT_096_PLAY_01,대 마상시합,태엽돌이 기사,정시 도착
233,VO_AT_097_ATTACK_03,대 마상시합,마상시합 관중,어이 머리좀 치워봐
234,VO_AT_097_DEATH_04,대 마상시합,마상시합 관중,안돼 내 팝콘
235,VO_AT_097_PLAY_01,대 마상시합,마상시합 관중,이야 자리 좋은데
236,VO_AT_098_ATTACK_03,대 마상시합,공연장 주문탐식자,맛이 끝내 주는데요
237,VO_AT_098_DEATH_04,대 마상시합,공연장 주문탐식자,죽음
238,VO_AT_098_PLAY_ALT1_02,대 마상시합,공연장 주문탐식자,하 그거 맛나겠군요
239,VO_AT_099_ATTACK_04,대 마상시합,코도 기수,짓밟아라
240,VO_AT_099_DEATH_05,대 마상시합,코도 기수,죽음
241,VO_AT_099_PLAY_01,대 마상시합,코도 기수,우 움직여볼까
242,VO_AT_100_ATTACK_ALT1_04,대 마상시합,은빛 성기사단 섭정,정화되어라
243,VO_AT_100_DEATH_05,대 마상시합,은빛 성기사단 섭정,죽음
244,VO_AT_100_PLAY_01,대 마상시합,은빛 성기사단 섭정,반가워요
245,VO_AT_101_ATTACK_02,대 마상시합,구덩이 투사,난 비열하게 싸우지
246,VO_AT_101_DEATH_03,대 마상시합,구덩이 투사,죽음
247,VO_AT_101_PLAY_01,대 마상시합,구덩이 투사,넌 이제 끝장이야
248,VO_AT_104_ATTACK_02,대 마상시합,투스카르 창기사,거북이 돌진
249,VO_AT_104_DEATH_03,대 마상시합,투스카르 창기사,죽음
250,VO_AT_104_PLAY_01,대 마상시합,투스카르 창기사,여기 낚시대회 맞죠
251,VO_AT_105_ATTACK_02,대 마상시합,부상당한 크발디르,오늘이 네 제삿날이다
252,VO_AT_105_DEATH_03,대 마상시합,부상당한 크발디르,죽음
253,VO_AT_105_PLAY_01_ALT,대 마상시합,부상당한 크발디르,나와 함께 최후를 맞이해라
254,VO_AT_106_ATTACK_02,대 마상시합,빛의 용사,사라져라
255,VO_AT_106_DEATH_03,대 마상시합,빛의 용사,죽음
256,VO_AT_106_PLAY_01,대 마상시합,빛의 용사,물럿거라 사악한 악마야
257,VO_AT_109_ATTACK_02,대 마상시합,은빛십자군 경비병,어딜 감히
258,VO_AT_109_DEATH_03,대 마상시합,은빛십자군 경비병,죽음
259,VO_AT_109_PLAY_01,대 마상시합,은빛십자군 경비병,널 감시하고 있다
260,VO_AT_110_ATTACK_ALT1_04,대 마상시합,경기장 관리자,입장권이 없다고요
261,VO_AT_110_DEATH_05,대 마상시합,경기장 관리자,죽음
262,VO_AT_110_PLAY_01,대 마상시합,경기장 관리자,두 줄로 서세요
263,VO_AT_110_TRIGGER_06,대 마상시합,경기장 관리자,퇴근이다
264,VO_AT_111_ATTACK_03,대 마상시합,투스카르 행상인,음 정산은 하셔야죠
265,VO_AT_111_DEATH_04,대 마상시합,투스카르 행상인,아직 다 못팔았는데
266,VO_AT_111_PLAY_ALT1_02,대 마상시합,투스카르 행상인,먹거리 많아요 드셔보세요
267,VO_AT_112_ATTACK_03,대 마상시합,위대한 창기사,패배할 준비는 되었나
268,VO_AT_112_DEATH_04,대 마상시합,위대한 창기사,말도 안돼
269,VO_AT_112_PLAY_01,대 마상시합,위대한 창기사,나는 최강이다
270,VO_AT_113_ATTACK_02,대 마상시합,모병관,입대를 환영하네
271,VO_AT_113_DEATH_03,대 마상시합,모병관,죽음
272,VO_AT_113_PLAY_01,대 마상시합,모병관,오늘 바로 지원하게나
273,VO_AT_114_ATTACK_03,대 마상시합,고약한 야유꾼,우
274,VO_AT_114_DEATH_05,대 마상시합,고약한 야유꾼,죽음
275,VO_AT_114_PLAY_01,대 마상시합,고약한 야유꾼,하 저런 놈이 영웅이라니 세상 좋아졌네
276,VO_AT_114_PLAY_ALT1_02,대 마상시합,고약한 야유꾼,오염된 노움만큼 냄새나는 녀석아
277,VO_AT_115_ATTACK_02,대 마상시합,검술 지도자,최선을 다해보시지요
278,VO_AT_115_DEATH_03,대 마상시합,검술 지도자,훌륭하군요
279,VO_AT_115_PLAY_01,대 마상시합,검술 지도자,한 수 가르쳐드리겠습니다
280,VO_AT_116_ATTACK_02,대 마상시합,고룡쉼터 요원,장난하나
281,VO_AT_116_DEATH_03,대 마상시합,고룡쉼터 요원,죽음
282,VO_AT_116_PLAY_01,대 마상시합,고룡쉼터 요원,지금 날 모욕하는거냐
283,VO_AT_117_ATTACK_02,대 마상시합,마상시합 진행자,경기 시작합니다
284,VO_AT_117_DEATH_03,대 마상시합,마상시합 진행자,죽음
285,VO_AT_117_PLAY_01,대 마상시합,마상시합 진행자,영웅은 둘이지만 승자는 한 명뿐
286,VO_AT_118_ATTACK_02,대 마상시합,고위 성전사,빛을 위해
287,VO_AT_118_DEATH_03,대 마상시합,고위 성전사,죽음
288,VO_AT_118_PLAY_01,대 마상시합,고위 성전사,빛의 부름에 답해라
289,VO_AT_119_ATTACK_03,대 마상시합,크발디르 약탈자,밀물이다
290,VO_AT_119_DEATH_04,대 마상시합,크발디르 약탈자,죽음
291,VO_AT_119_PLAY_01,대 마상시합,크발디르 약탈자,난 약탈이 좋다
292,VO_AT_121_ATTACK_02,대 마상시합,마상시합 유명인,킬각 나왔어
293,VO_AT_121_DEATH_03_ALT,대 마상시합,마상시합 유명인,죽음
294,VO_AT_121_PLAY_01,대 마상시합,마상시합 유명인,하 내 팬들이 이렇게나 많다니
295,VO_AT_124_ATTACK_04,대 마상시합,볼프 램실드,다음은 누구야
296,VO_AT_124_DEATH_05,대 마상시합,볼프 램실드,죽음
297,VO_AT_124_PLAY_ALT2_03,대 마상시합,볼프 램실드,한꺼번에 다 덤비라고
298,VO_AT_127_ATTACK_02,대 마상시합,연합용사 사라아드,협상 결렬
299,VO_AT_127_DEATH_04,대 마상시합,연합용사 사라아드,죽음
300,VO_AT_127_PLAY_01,대 마상시합,연합용사 사라아드,협상을 해보자 지금 항복하면 목숨은 살려주지
301,VO_AT_127_TRIGGER_05,대 마상시합,연합용사 사라아드,이익이 발생했군
302,VO_AT_128_ATTACK_02,대 마상시합,해골 기사,강철의 대가를 치뤄라
303,VO_AT_128_DEATH_03,대 마상시합,해골 기사,또 패배하다니
304,VO_AT_128_PLAY_01,대 마상시합,해골 기사,대 마상시합에선 승리하지 못하면 죽을 뿐이다
305,VO_AT_129_ATTACK_03,대 마상시합,피욜라 라이트베인,하찮은 것
306,VO_AT_129_DEATH_04,대 마상시합,피욜라 라이트베인,죽음
307,VO_AT_129_PLAY_01,대 마상시합,피욜라 라이트베인,실력을 확인해보니 한참 모자라는구나
308,VO_AT_130_ATTACK_02,대 마상시합,바다의 학살자,익사해라
309,VO_AT_130_DEATH_03,대 마상시합,바다의 학살자,죽음
310,VO_AT_130_PLAY_01,대 마상시합,바다의 학살자,바다는 우리 것이다
311,VO_AT_130_TRIGGER_04,대 마상시합,바다의 학살자,학살할 시간이다
312,VO_AT_131_ATTACK_03,대 마상시합,아이디스 다크베인,혼돈
313,VO_AT_131_DEATH_04,대 마상시합,아이디스 다크베인,죽음
314,VO_AT_131_PLAY_ALT1_02,대 마상시합,아이디스 다크베인,어둠이 널 삼키리라
315,VO_AT_132_ATTACK_02,대 마상시합,심판관 트루하트,실격
316,VO_AT_132_DEATH_03,대 마상시합,심판관 트루하트,죽음
317,VO_AT_132_PLAY_01,대 마상시합,심판관 트루하트,영웅이여 대 마상시합에 온걸 환영합니다
318,VO_AT_133_ATTACK_ALT1_03,대 마상시합,가젯잔 창기사,전속력으로
319,VO_AT_133_DEATH_04,대 마상시합,가젯잔 창기사,죽음
320,VO_AT_133_PLAY_01,대 마상시합,가젯잔 창기사,내 탈것은 절대 폭발하지 않는다구요 아마도
321,VO_Barnes_Male_Human_JulianneBossCoin_01,한여름 밤의 카라잔,반즈,제 1막은 금지된 사랑 얘기입니다
322,VO_Barnes_Male_Human_JulianneTurn5_01,한여름 밤의 카라잔,반즈,파티에 연극이 없으면 무슨 소용인가 그리고 연극에는 마땅히 관객이 있어야 하지 않겠는가
